id,claim_id,village_id,livestock_type,quantity,species,incident_date,latitude,longitude,description,evidence_url,status,submitted_at,updated_at
LL-39d498d6,CLM-76904,VLG-1009,Buffalo,3,Leopard,2026-07-24,21.176554847805406,70.75616850147777,Predation occurred at night near the forest border.,,REJECTED,2026-07-24T23:53:05.886949,2026-07-24T23:53:05.886949
LL-b147c37e,CLM-54478,VLG-1010,Goat,2,Asiatic Lion,2026-07-23,21.013714212319353,70.72524644256883,Predation occurred at night near the forest border.,,PENDING,2026-07-23T23:53:05.886949,2026-07-23T23:53:05.886949
LL-107c2b27,CLM-24982,VLG-1013,Buffalo,2,Leopard,2026-08-07,21.07019339473306,70.82581197768816,Predation occurred at night near the forest border.,,PENDING,2026-08-07T23:53:05.886949,2026-08-07T23:53:05.886949
LL-c7ae4ca9,CLM-68032,VLG-1000,Sheep,1,Leopard,2026-08-18,21.123902811240015,70.88327260148232,Predation occurred at night near the forest border.,,PAID,2026-08-18T23:53:05.886949,2026-08-18T23:53:05.886949
LL-70055e35,CLM-17189,VLG-1013,Cow,2,Leopard,2026-08-13,21.073951310894522,70.88466624012571,Predation occurred at night near the forest border.,,PENDING,2026-08-13T23:53:05.886949,2026-08-13T23:53:05.886949
LL-a51d6c9a,CLM-44095,VLG-1002,Buffalo,1,Leopard,2026-08-01,21.004383567857012,70.70099043988529,Predation occurred at night near the forest border.,,PAID,2026-08-01T23:53:05.886949,2026-08-01T23:53:05.886949
LL-42819fce,CLM-23777,VLG-1006,Cow,3,Leopard,2026-07-30,21.105986932836707,70.8524754482014,Predation occurred at night near the forest border.,,PAID,2026-07-30T23:53:05.886949,2026-07-30T23:53:05.886949
LL-0f45a580,CLM-18999,VLG-1006,Buffalo,2,Leopard,2026-08-09,21.0880139201174,70.8484026682335,Predation occurred at night near the forest border.,,PENDING,2026-08-09T23:53:05.886949,2026-08-09T23:53:05.886949
LL-614956dc,CLM-10562,VLG-1008,Cow,2,Leopard,2026-07-28,21.15773382319284,70.76771255900208,Predation occurred at night near the forest border.,,PENDING,2026-07-28T23:53:05.886949,2026-07-28T23:53:05.886949
LL-75be1846,CLM-93048,VLG-1010,Buffalo,1,Leopard,2026-08-18,21.062619014040592,70.7151335530402,Predation occurred at night near the forest border.,,APPROVED,2026-08-18T23:53:05.886949,2026-08-18T23:53:05.886949
